كود الصنف,اسم الصنف,القسم,وحدة البيع,سعر الحبة,عدد الحبات بالكرتون,سعر الكرتون,المخزون,الرئيسي,فرع02,فرع05,معرف الصورة,عرض,جديد,وسوم,إظهار,ترتيب,ملاحظة
800-03473,مجموعة حيوانات بكيس,,حبه,10.0,96,,300,277,23,12,,,,,نعم,,
800-03477,حيوانات بكيس مع حلقات,,حبه,7.0,84,,142,119,23,12,,,,,نعم,,
800-03482,مفرش أطفال,,حبه,32.0,12,,74,62,12,6,,,,,نعم,,
800-03483,مفرش أطفال مع تعليم مشي,,حبه,49.0,12,,57,45,12,6,,,,,نعم,,
800-03485,بروجكتر بعلبة فضاء,,حبه,16.0,72,,20,0,20,3,,,,,نعم,,
800-03489,مقوى تركيب وتلوين شكل خروف,,حبه,10.0,72,,261,225,36,6,,,,,نعم,,
800-03490,مقوى تركيب وتلوين شكل زرافة,,حبه,13.0,48,,46,28,18,6,,,,,نعم,,
800-03492,حلقات اطفال شكل اخطبوط,,حبه,11.0,64,,207,198,9,6,,,,,نعم,,
800-03493,العاب بطارية فيل مع كورة ودخان,,حبه,20.0,60,,178,167,11,6,,,,,نعم,,
800-03499,لعبة بناء الطوب,,حبه,10.84,72,,5,0,5,0,,,,,نعم,,
800-03501,مجموعة قطار بعلبة,,حبه,23.34,36,,125,112,13,13,,,,,نعم,,
800-03508,مجموعة عروسة مع شنطة,,حبه,30.0,24,,115,96,19,12,,,,,نعم,,
800-03509,مجموعة اشكال رسم هندسي,,حبه,12.0,96,,285,260,25,6,,,,,نعم,,
800-03515,مسدس طلقات فلين بعلبة,,حبه,14.0,96,,184,169,15,6,,,,,نعم,,
800-03527,شنطة أدوات متنوعة ولادي بناتي,,حبه,24.0,36,,10,0,10,0,,,,,نعم,,
800-03534,مجموعة مسدسات بعلبة 12حبه,,BOX,36.0,24,,43,36,7,3,,,,,نعم,,
800-03536,مجموعة روبوتات بعلبة 9حبات,,BOX,36.0,24,,94,91,3,3,,,,,نعم,,
800-03538,سيارة ريموت رينج روفر,,حبه,23.0,48,,6,0,6,0,,,,,نعم,,
800-03542,مجموعة بندقيات صغيرة 12 حبه,,BOX,14.0,36,,112,89,23,3,,,,,نعم,,
800-03546,تلفون أطفال بعلبة 12حبه,,BOX,78.0,16,,9,3,6,3,,,,,نعم,,
800-03549,خيمة بشنطة شخصيات منوعة,,حبه,25.0,60,,3,0,3,6,,,,,نعم,,
800-03552,كاشيير بناتي,,حبه,21.0,48,,5,0,5,12,,,,,نعم,,
800-03554,قطار بعلبة شفاف,,حبه,8.75,96,,13,0,13,6,,,,,نعم,,
800-03562,لعبة شيش مع إشارات مرور,,حبه,11.0,48,,212,199,13,6,,,,,نعم,,
800-03564,الأربعة تربح شخصيات منوعة,,حبه,12.0,72,,34,20,14,6,,,,,نعم,,
800-03567,تحدي ترتيب الاشكال,,حبه,8.0,120,,617,593,24,6,,,,,نعم,,
800-03570,سيارات رولز رويس 8  حبات,,BOX,112.0,18,,18,15,3,3,,,,,نعم,,
800-03581,ساعات أطفال شخصيات منوعة 12حبه,,BOX,24.0,48,,94,40,54,6,,,,,نعم,,
800-03587,سيارات حديد 12 حبه بعلبة,,BOX,80.0,24,,77,71,6,3,,,,,نعم,,
800-03589,مسدس صوت بكيس,,حبه,4.0,360,,80,17,63,6,,,,,نعم,,
800-03591,ليجو دمى صغيرة 4 اشكال_8 حبات بعلبة,,BOX,40.0,30,,35,23,12,3,,,,,نعم,,
800-03594,مجموعة تجميل بناتي,,حبه,19.17,60,,3,0,3,0,,,,,نعم,,
800-03602,مجموعة قوس مع هدف,,حبه,20.0,24,,122,103,19,12,,,,,نعم,,
800-03603,مجموعة قوس ومضارب تنس,,حبه,20.0,24,,120,101,19,12,,,,,نعم,,
800-03605,مسدس ماء بعلبة,,حبه,8.0,120,,185,169,16,6,,,,,نعم,,
800-03607,العاب بطارية شاحنة خلاط,,حبه,17.0,60,,133,131,2,6,,,,,نعم,,
800-03608,سيارة ريموت بوقاتي دركسون دائري,,حبه,14.0,60,,3,0,3,0,,,,,نعم,,
800-03609,مجموعة حيوانات بكيس,,حبه,8.0,96,,209,185,24,12,,,,,نعم,,
800-03611,جص تلوين اشكال منوعة,,حبه,8.75,60,,4,0,4,6,,,,,نعم,,
800-03612,مسدس طلقات فلين,,حبه,17.0,48,,126,111,15,6,,,,,نعم,,
800-03616,هوكي توكي وحيد القرن,,حبه,8.75,120,,115,92,23,15,,,,,نعم,,
800-03619,العاب رمل سطل ومغارف,,حبه,11.0,24,,2,0,2,0,,,,,نعم,,
800-03626,مجموعة سيارة وقارب,,حبه,16.0,36,,52,44,8,6,,,,,نعم,,
800-03627,عرائس بعلبة 4 حبات,,BOX,26.0,36,,79,59,20,3,,,,,نعم,,
800-03628,لعبة ورقية رحت فيها,,حبه,9.0,96,,75,59,16,6,,,,,نعم,,
800-03629,لعبة لودو,,حبه,11.0,72,,34,10,24,6,,,,,نعم,,
800-03631,مرجيحة بعلبة,,حبه,24.0,36,,7,0,7,0,,,,,نعم,,
800-03633,ملاهي بطارية تركيب بزل,,حبه,16.0,48,,11,0,11,6,,,,,نعم,,
800-03646,لعبة تحدي البناء,,حبه,7.5,96,,16,0,16,6,,,,,نعم,,
800-03652,عرائس بعلبة 6 حبات,,BOX,26.0,40,,6,0,6,3,,,,,نعم,,
800-03654,عروسة شكل عصري بعلبة شفاف,,حبه,27.0,40,,203,192,11,12,,,,,نعم,,
800-03656,عروسة مفرد طول 80سم,,حبه,28.0,20,,111,86,25,32,,,,,نعم,,
800-03659,سيارة ريموت باص مدرسة,,حبه,24.0,60,,36,24,12,6,,,,,نعم,,
800-03660,سيارة ريموت ونش,,حبه,29.0,32,,37,30,7,6,,,,,نعم,,
800-03662,مضارب تنس بناتي بعلبة مكشوف,,حبه,13.0,48,,152,127,25,12,,,,,نعم,,
800-03664,العاب بطارية سمك قرش مع كورة,,حبه,13.0,72,,380,368,12,6,,,,,نعم,,
800-03667,لعبة ثعبان مفرش,,حبه,23.0,24,,22,9,13,6,,,,,نعم,,
800-03668,مجموعة العاب 7*1 شنطة,,حبه,21.0,48,,83,67,16,6,,,,,نعم,,
800-03673,مجموعة عروسة بيبي,,حبه,27.0,24,,7,0,7,0,,,,,نعم,,
800-03674,عروسة بيبي مفرد بعلبة,,حبه,19.0,48,,119,107,12,6,,,,,نعم,,
800-03675,العاب بطارية شخصية ستيتش,,حبه,19.0,60,,146,136,10,6,,,,,نعم,,
800-03679,جص رسم وتلوين فراشات,,حبه,8.0,48,,92,78,14,6,,,,,نعم,,
800-03680,جص رسم وتلوين فضا,,حبه,8.0,48,,46,26,20,6,,,,,نعم,,
800-03684,فرشة كورة قدم بعلبة,,حبه,28.0,36,,29,19,10,6,,,,,نعم,,
800-03685,كرت بانيو مع بيبي,,حبه,8.25,72,,41,28,13,6,,,,,نعم,,
800-03686,ديناصورات بكيس,,حبه,8.75,84,,362,331,31,12,,,,,نعم,,
800-03691,سيارة جولف بناتي مع اثاث,,حبه,19.0,48,,108,81,27,9,,,,,نعم,,
800-03696,بوكس عرائس 3 حبات,,BOX,32.0,20,,7,0,7,6,,,,,نعم,,
800-03697,حاجز بدون كوره بعلبة,,حبه,22.0,60,,129,107,22,6,,,,,نعم,,
800-03698,حاجز بدون كوره بعلبة ديناصورات,,حبه,22.0,60,,189,167,22,6,,,,,نعم,,
800-03699,لعبة السلم والثعبان,,حبه,18.0,48,,80,68,12,6,,,,,نعم,,
800-03700,حلقات اطفال 13حلقة,,حبه,14.0,36,,56,40,16,12,,,,,نعم,,
800-03706,تروس فك وتركيب146قطعة,,حبه,10.0,72,,295,271,24,6,,,,,نعم,,
800-03708,صلصال صغير مع قوالب,,حبه,4.0,216,,258,239,19,12,,,,,نعم,,
800-03709,طبق دوار 12 حبه بعلبة,,BOX,30.0,12,,35,31,4,3,,,,,نعم,,
800-03709-1,طبق دوار 12 حبه بعلبة_بالحبه,,حبة,2.5,,,11,0,11,0,,,,,نعم,,
800-03710,سيارة ريموت مجنونة_شخصيات منوعة,,حبه,20.0,36,,143,123,20,12,,,,,نعم,,
800-03711,سيارة ريموت _جيب تسلا,,حبه,22.0,72,,192,176,16,6,,,,,نعم,,
800-03712,مجموعة دورية المخالب,,حبه,20.0,36,,46,36,10,6,,,,,نعم,,
800-03713,لعبة زنبركية شخصيات منوعة,,BOX,18.0,60,,87,76,11,10,,,,,نعم,,
800-03717,مجموعة اكسسوارات شكل صاروخ,,حبه,13.34,42,,90,81,9,6,,,,,نعم,,
800-03718,مجموعة 8 مسدسات صوت بعلبة,,BOX,125.0,10,,9,3,6,3,,,,,نعم,,
800-03719,مجموعة تسريحة واكسسوارات,,حبه,15.0,36,,92,79,13,12,,,,,نعم,,
800-03720,شنطة اكسسوارات بعلبة شفاف,,حبه,16.0,48,,6,0,6,0,,,,,نعم,,
800-03722,بيانو كبير مع مكرفون,,حبه,35.0,24,,7,0,7,0,,,,,نعم,,
800-03723,مجموعة مهندس اعمال بكيس,,حبه,7.0,96,,33,20,13,6,,,,,نعم,,
800-03727,طائرة بطارية صوت واضاءة بعلبة,,حبه,24.17,24,,72,53,19,12,,,,,نعم,,
800-03728,مسدس صوت وبخار بعلبة,,حبه,17.0,48,,46,26,20,6,,,,,نعم,,
800-03730,مجموعة عروسة بيبي,,حبه,24.0,30,,140,124,16,12,,,,,نعم,,
800-03731,مجموعة بيبي مع عربية,,حبه,32.0,18,,40,27,13,12,,,,,نعم,,
800-03732,كرت مسدس صابون,,حبه,8.25,72,,204,179,25,12,,,,,نعم,,
800-03734,جوال أطفال بعلبة 12 حبه,,BOX,72.0,24,,69,62,7,3,,,,,نعم,,
800-03736,بيانو صغير شخصيات,,حبه,7.5,216,,1365,1343,22,6,,,,,نعم,,
800-03737,حبل نط,,حبه,3.0,288,,227,200,27,6,,,,,نعم,,
800-03740,تقطيع الفواكة بكيس,,حبه,8.0,128,,19,10,9,0,,,,,نعم,,
800-03741,مجموعة شخصيات مارفل بعلبة,,حبه,24.0,60,,6,0,6,0,,,,,نعم,,
800-03744,شطرنج كلاسيكي صغير بعلبة,,حبه,4.0,120,,498,467,31,24,,,,,نعم,,
800-03745,العاب بطارية طائرة ستيتش,,حبه,15.0,72,,214,202,12,6,,,,,نعم,,
800-03747,العاب بطارية سباق بناتي ولادي,,حبه,17.0,72,,29,16,13,6,,,,,نعم,,
800-03749,بيبليد بعلبة,,حبه,12.5,56,,212,196,16,12,,,,,نعم,,
800-03753,مجموعة تسريحة شخصية دورا,,حبه,59.0,8,,16,2,14,3,,,,,نعم,,
800-03756,دباب فك وتركيب بعلبة,,حبه,7.0,120,,447,440,7,6,,,,,نعم,,
800-03759,مجموعة سوبر ماريو,,حبه,26.0,48,,79,62,17,6,,,,,نعم,,
800-03760,مسدس صوت مع عجلة بكيس,,حبه,8.25,144,,363,347,16,6,,,,,نعم,,
800-03763,سيكونس كبير,,حبه,24.0,24,,11,0,11,0,,,,,نعم,,
800-03766,لعبة شيش مفرش 50*60,,حبه,11.0,48,,27,3,24,0,,,,,نعم,,
800-03767,خيمة مع عدة تخييم,,حبه,38.0,18,,28,17,11,6,,,,,نعم,,
800-03769,سيارة ريموت جي كلاس شحن,,حبه,52.0,9,,4,0,4,0,,,,,نعم,,
800-03772,كاشير رجل الفضاء,,حبه,32.0,48,,258,252,6,12,,,,,نعم,,
800-03773,شخاشيخ سرير تعليق,,حبه,32.0,36,,192,154,38,12,,,,,نعم,,
800-03774,مفرش أطفال شخاشيخ وبيانو,,حبه,32.0,18,,86,74,12,12,,,,,نعم,,
